Image.Name;Site;Location_season;Trigger;Day;Month;Year;Date;Time;Temp_F;Temp_C;Serial #;Species;Comment
2014-10-18 13-00-00 T.JPG;Valdres;Box1Spring2015;T;18;10;2014;18/10/2014;13:00:00;35;2;S750HG03177873;;
2014-10-18 23-32-34 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;18;10;2014;18/10/2014;23:32:34;35;2;S750HG03177873;M;
2014-10-18 23-32-34 M 2_2.JPG;Valdres;Box1Spring2015;M 2/2;18;10;2014;18/10/2014;23:32:34;35;2;S750HG03177873;;
2014-10-19 01-00-00 T.JPG;Valdres;Box1Spring2015;T;19;10;2014;19/10/2014;01:00:00;35;2;S750HG03177873;;
2014-10-19 05-43-32 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;19;10;2014;19/10/2014;05:43:32;36;2;S750HG03177873;;
2014-10-19 05-43-33 M 2_2.JPG;Valdres;Box1Spring2015;M 2/2;19;10;2014;19/10/2014;05:43:33;36;2;S750HG03177873;;
2014-10-19 13-00-00 T.JPG;Valdres;Box1Spring2015;T;19;10;2014;19/10/2014;13:00:00;36;2;S750HG03177873;;
2014-10-20 00-33-11 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;20;10;2014;20/10/2014;00:33:11;37;3;S750HG03177873;M;
2014-10-20 00-33-12 M 2_2.JPG;Valdres;Box1Spring2015;M 2/2;20;10;2014;20/10/2014;00:33:12;37;3;S750HG03177873;;
2014-10-20 01-00-00 T.JPG;Valdres;Box1Spring2015;T;20;10;2014;20/10/2014;01:00:00;37;3;S750HG03177873;;
2014-10-20 02-00-37 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;20;10;2014;20/10/2014;02:00:37;37;3;S750HG03177873;M;
2014-10-20 02-00-38 M 2_2.JPG;Valdres;Box1Spring2015;M 2/2;20;10;2014;20/10/2014;02:00:38;37;3;S750HG03177873;;
2014-10-20 13-00-00 T.JPG;Valdres;Box1Spring2015;T;20;10;2014;20/10/2014;13:00:00;41;5;S750HG03177873;;
2014-10-21 01-00-00 T.JPG;Valdres;Box1Spring2015;T;21;10;2014;21/10/2014;01:00:00;40;4;S750HG03177873;;
2014-10-21 13-00-00 T.JPG;Valdres;Box1Spring2015;T;21;10;2014;21/10/2014;13:00:00;41;5;S750HG03177873;;
2014-10-22 01-00-00 T.JPG;Valdres;Box1Spring2015;T;22;10;2014;22/10/2014;01:00:00;39;4;S750HG03177873;;
2014-10-22 01-30-02 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;22;10;2014;22/10/2014;01:30:02;39;4;S750HG03177873;M;
2014-10-22 01-30-02 M 2_2.JPG;Valdres;Box1Spring2015;M 2/2;22;10;2014;22/10/2014;01:30:02;39;4;S750HG03177873;;
2014-10-22 13-00-00 T.JPG;Valdres;Box1Spring2015;T;22;10;2014;22/10/2014;13:00:00;39;4;S750HG03177873;;
2014-10-23 01-00-00 T.JPG;Valdres;Box1Spring2015;T;23;10;2014;23/10/2014;01:00:00;36;2;S750HG03177873;;
2014-10-23 13-00-00 T.JPG;Valdres;Box1Spring2015;T;23;10;2014;23/10/2014;13:00:00;35;2;S750HG03177873;;
2014-10-23 20-05-02 M 1_2.JPG;Valdres;Box1Spring2015;M 1/2;23;10;2014;23/10/2014;20:05:02;36;2;S750HG03177873;M;
