Image Name;Site;Location_season;Trigger;Day;Month;Year;Date;Time;Temp_F;Temp_C;Serial #;Species;Comment
2014-10-30 02-45-47 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;30;10;2014;30/10/2014;02:45:47;30;-1;S750HG02176085;;
2014-10-30 13-00-00 T.JPG;Valdres;Box2Spring2015;T;30;10;2014;30/10/2014;13:00:00;32;0;S750HG02176085;;
2014-10-30 20-20-42 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;30;10;2014;30/10/2014;20:20:42;31;-1;S750HG02176085;M;
2014-10-30 20-20-42 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;30;10;2014;30/10/2014;20:20:42;31;-1;S750HG02176085;;
2014-10-31 01-00-00 T.JPG;Valdres;Box2Spring2015;T;31;10;2014;31/10/2014;01:00:00;27;-3;S750HG02176085;;
2014-10-31 13-00-00 T.JPG;Valdres;Box2Spring2015;T;31;10;2014;31/10/2014;13:00:00;30;-1;S750HG02176085;;
2014-10-31 21-21-41 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;31;10;2014;31/10/2014;21:21:41;31;-1;S750HG02176085;W;S
2014-10-31 21-21-41 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;31;10;2014;31/10/2014;21:21:41;31;-1;S750HG02176085;;
2014-11-01 01-00-00 T.JPG;Valdres;Box2Spring2015;T;1;11;2014;01/11/2014;01:00:00;31;-1;S750HG02176085;;
2014-11-01 13-00-00 T.JPG;Valdres;Box2Spring2015;T;1;11;2014;01/11/2014;13:00:00;32;0;S750HG02176085;;
2014-11-01 19-27-27 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;1;11;2014;01/11/2014;19:27:27;32;0;S750HG02176085;W;S
2014-11-01 19-27-27 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;1;11;2014;01/11/2014;19:27:27;32;0;S750HG02176085;W;S
2014-11-01 19-31-32 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;1;11;2014;01/11/2014;19:31:32;33;1;S750HG02176085;W;S
2014-11-01 19-31-33 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;1;11;2014;01/11/2014;19:31:33;33;1;S750HG02176085;;
2014-11-02 01-00-00 T.JPG;Valdres;Box2Spring2015;T;2;11;2014;02/11/2014;01:00:00;32;0;S750HG02176085;;
2014-11-02 13-00-00 T.JPG;Valdres;Box2Spring2015;T;2;11;2014;02/11/2014;13:00:00;35;2;S750HG02176085;;
2014-11-03 01-00-00 T.JPG;Valdres;Box2Spring2015;T;3;11;2014;03/11/2014;01:00:00;41;5;S750HG02176085;;
2014-11-03 13-00-00 T.JPG;Valdres;Box2Spring2015;T;3;11;2014;03/11/2014;13:00:00;34;1;S750HG02176085;;
2014-11-04 01-00-00 T.JPG;Valdres;Box2Spring2015;T;4;11;2014;04/11/2014;01:00:00;32;0;S750HG02176085;;
2014-11-04 13-00-00 T.JPG;Valdres;Box2Spring2015;T;4;11;2014;04/11/2014;13:00:00;33;1;S750HG02176085;;
2014-11-05 01-00-00 T.JPG;Valdres;Box2Spring2015;T;5;11;2014;05/11/2014;01:00:00;31;-1;S750HG02176085;;
2014-11-05 13-00-00 T.JPG;Valdres;Box2Spring2015;T;5;11;2014;05/11/2014;13:00:00;30;-1;S750HG02176085;;
2014-11-06 01-00-00 T.JPG;Valdres;Box2Spring2015;T;6;11;2014;06/11/2014;01:00:00;30;-1;S750HG02176085;;
2014-11-06 06-49-15 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;6;11;2014;06/11/2014;06:49:15;30;-1;S750HG02176085;;
2014-11-06 06-49-15 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;6;11;2014;06/11/2014;06:49:15;30;-1;S750HG02176085;;
2014-11-06 08-09-34 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;6;11;2014;06/11/2014;08:09:34;29;-2;S750HG02176085;K;
2014-11-06 08-09-34 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;6;11;2014;06/11/2014;08:09:34;29;-2;S750HG02176085;;
2014-11-06 13-00-00 T.JPG;Valdres;Box2Spring2015;T;6;11;2014;06/11/2014;13:00:00;29;-2;S750HG02176085;;
2014-11-07 01-00-00 T.JPG;Valdres;Box2Spring2015;T;7;11;2014;07/11/2014;01:00:00;27;-3;S750HG02176085;;
2014-11-07 01-01-20 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;7;11;2014;07/11/2014;01:01:20;27;-3;S750HG02176085;;
2014-11-07 01-01-21 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;7;11;2014;07/11/2014;01:01:21;27;-3;S750HG02176085;;
2014-11-07 13-00-00 T.JPG;Valdres;Box2Spring2015;T;7;11;2014;07/11/2014;13:00:00;27;-3;S750HG02176085;;
2014-11-08 01-00-00 T.JPG;Valdres;Box2Spring2015;T;8;11;2014;08/11/2014;01:00:00;28;-2;S750HG02176085;;
2014-11-08 01-29-08 M 1_2.JPG;Valdres;Box2Spring2015;M 1/2;8;11;2014;08/11/2014;01:29:08;28;-2;S750HG02176085;M;
2014-11-08 01-29-08 M 2_2.JPG;Valdres;Box2Spring2015;M 2/2;8;11;2014;08/11/2014;01:29:08;28;-2;S750HG02176085;;
2014-11-08 13-00-00 T.JPG;Valdres;Box2Spring2015;T;8;11;2014;08/11/2014;13:00:00;30;-1;S750HG02176085;;
