Name;Station;Date;SnowDepth
Tromsø;SN90450;12.06.2019;0
Tromsø;SN90450;13.06.2019;0
Tromsø;SN90450;14.06.2019;0
Tromsø;SN90450;15.06.2019;0
Tromsø;SN90450;16.06.2019;0
Tromsø;SN90450;17.06.2019;0
Tromsø;SN90450;18.06.2019;0
Tromsø;SN90450;19.06.2019;0
Tromsø;SN90450;20.06.2019;0
Tromsø;SN90450;21.06.2019;0
Tromsø;SN90450;22.06.2019;0
Tromsø;SN90450;23.06.2019;0
Tromsø;SN90450;24.06.2019;0
Tromsø;SN90450;25.06.2019;0
Tromsø;SN90450;26.06.2019;0
Tromsø;SN90450;27.06.2019;0
Tromsø;SN90450;28.06.2019;0
Tromsø;SN90450;29.06.2019;0
Tromsø;SN90450;30.06.2019;0
Tromsø;SN90450;01.07.2019;0
Tromsø;SN90450;02.07.2019;0
Tromsø;SN90450;03.07.2019;0
Tromsø;SN90450;04.07.2019;0
Tromsø;SN90450;05.07.2019;0
Tromsø;SN90450;06.07.2019;0
Tromsø;SN90450;07.07.2019;0
Tromsø;SN90450;08.07.2019;0
Tromsø;SN90450;09.07.2019;0
Tromsø;SN90450;10.07.2019;0
Tromsø;SN90450;11.07.2019;0
Tromsø;SN90450;12.07.2019;0
Tromsø;SN90450;13.07.2019;0
Tromsø;SN90450;14.07.2019;0
Tromsø;SN90450;15.07.2019;0
Tromsø;SN90450;16.07.2019;0
Tromsø;SN90450;17.07.2019;0
Tromsø;SN90450;18.07.2019;0
Tromsø;SN90450;19.07.2019;0
Tromsø;SN90450;20.07.2019;0
Tromsø;SN90450;21.07.2019;0
Tromsø;SN90450;22.07.2019;0
Tromsø;SN90450;23.07.2019;0
Tromsø;SN90450;24.07.2019;0
Tromsø;SN90450;25.07.2019;0
Tromsø;SN90450;26.07.2019;0
Tromsø;SN90450;27.07.2019;0
Tromsø;SN90450;28.07.2019;0
Tromsø;SN90450;29.07.2019;0
Tromsø;SN90450;30.07.2019;0
Tromsø;SN90450;31.07.2019;0
Tromsø;SN90450;01.08.2019;0
Tromsø;SN90450;02.08.2019;0
Tromsø;SN90450;03.08.2019;0
Tromsø;SN90450;04.08.2019;0
Tromsø;SN90450;05.08.2019;0
Tromsø;SN90450;06.08.2019;0
Tromsø;SN90450;07.08.2019;0
Tromsø;SN90450;08.08.2019;0
Tromsø;SN90450;09.08.2019;0
Tromsø;SN90450;10.08.2019;0
Tromsø;SN90450;11.08.2019;0
Tromsø;SN90450;12.08.2019;0
Tromsø;SN90450;13.08.2019;0
Tromsø;SN90450;14.08.2019;0
Tromsø;SN90450;15.08.2019;0
Tromsø;SN90450;16.08.2019;0
Tromsø;SN90450;17.08.2019;0
Tromsø;SN90450;18.08.2019;0
Tromsø;SN90450;19.08.2019;0
Tromsø;SN90450;20.08.2019;0
Tromsø;SN90450;21.08.2019;0
Tromsø;SN90450;22.08.2019;0
Tromsø;SN90450;23.08.2019;0
Tromsø;SN90450;24.08.2019;0
Tromsø;SN90450;25.08.2019;0
Tromsø;SN90450;26.08.2019;0
Tromsø;SN90450;27.08.2019;0
Tromsø;SN90450;28.08.2019;0
Tromsø;SN90450;29.08.2019;0
Tromsø;SN90450;30.08.2019;0
Tromsø;SN90450;31.08.2019;0
Tromsø;SN90450;01.09.2019;0
Tromsø;SN90450;02.09.2019;0
Tromsø;SN90450;03.09.2019;0
Tromsø;SN90450;04.09.2019;0
Tromsø;SN90450;05.09.2019;0
Tromsø;SN90450;06.09.2019;0
Tromsø;SN90450;07.09.2019;0
Tromsø;SN90450;08.09.2019;0
Tromsø;SN90450;09.09.2019;0
Tromsø;SN90450;10.09.2019;0
Tromsø;SN90450;11.09.2019;0
Tromsø;SN90450;12.09.2019;0
Tromsø;SN90450;13.09.2019;0
Tromsø;SN90450;14.09.2019;0
